Customer ID,Recency,Frequency,Monetary,Cluster,Labels
11000,270,3.0,14397.130924999998,1,Top/Best Customers
11001,49,3.0,14397.130924999998,1,Top/Best Customers
11002,339,3.0,11639.0756,1,Top/Best Customers
11003,263,3.0,14397.130924999998,1,Top/Best Customers
11004,272,3.0,14397.130924999998,1,Top/Best Customers
11005,271,3.0,14397.130924999998,1,Top/Best Customers
11006,259,3.0,14131.812100000001,1,Top/Best Customers
11007,315,3.0,14397.130924999998,1,Top/Best Customers
11008,332,3.0,14397.130924999998,1,Top/Best Customers
11009,264,3.0,14152.4754,1,Top/Best Customers
11010,250,3.0,11581.6156,1,Top/Best Customers
11011,315,3.0,11681.0656,1,Top/Best Customers
11012,105,2.0,262.4375,1,Top/Best Customers
11013,7,2.0,334.7045,2,Current Customer
11014,273,2.0,525.8034,1,Top/Best Customers
11015,375,1.0,8290.7157,0,Lost/Needed Attention Customers
11016,353,1.0,7731.5082,0,Lost/Needed Attention Customers
11017,106,3.0,9670.1646,1,Top/Best Customers
11018,96,3.0,12430.377200000003,1,Top/Best Customers
11019,16,3.5,2051.776,1,Top/Best Customers
11020,395,1.0,5120.5038,0,Lost/Needed Attention Customers
11021,370,1.0,7863.0474,0,Lost/Needed Attention Customers
11022,373,1.0,5132.2388,0,Lost/Needed Attention Customers
11023,14,2.0,526.422,2,Current Customer
11024,186,2.0,187.33079999999998,1,Top/Best Customers
11025,95,3.0,13463.408600000002,1,Top/Best Customers
11026,105,3.0,14284.7663,1,Top/Best Customers
11027,96,3.0,14397.130924999998,1,Top/Best Customers
11028,113,3.0,12364.044000000002,1,Top/Best Customers
11029,78,3.0,14249.958799999997,1,Top/Best Customers
11030,80,3.0,7981.0394,1,Top/Best Customers
11031,76,3.0,11396.461899999998,1,Top/Best Customers
11032,81,3.0,14397.130924999998,1,Top/Best Customers
11033,84,3.0,12316.584199999998,1,Top/Best Customers
11034,79,3.0,8052.8644,1,Top/Best Customers
11035,74,3.0,8800.1871,1,Top/Best Customers
11036,371,1.0,5204.5058,0,Lost/Needed Attention Customers
11037,373,1.0,14397.130924999998,0,Lost/Needed Attention Customers
11038,77,3.0,7113.2498,1,Top/Best Customers
11039,78,3.0,14397.130924999998,1,Top/Best Customers
11040,300,1.0,7793.432400000001,0,Lost/Needed Attention Customers
11041,379,1.0,7891.2582,0,Lost/Needed Attention Customers
11042,103,2.0,4314.6604,1,Top/Best Customers
11043,163,2.0,67.3608,1,Top/Best Customers
11044,81,3.0,12460.256399999998,1,Top/Best Customers
11045,91,2.0,270.61469999999997,1,Top/Best Customers
11046,77,3.0,11779.8086,1,Top/Best Customers
11047,70,3.0,9969.6638,1,Top/Best Customers
11048,34,3.0,14397.130924999998,1,Top/Best Customers
11049,91,2.0,262.4375,1,Top/Best Customers
11050,70,3.0,8281.5111,1,Top/Best Customers
11051,27,2.0,345.7215,2,Current Customer
11052,246,3.0,14397.130924999998,1,Top/Best Customers
11053,376,1.0,5149.2558,0,Lost/Needed Attention Customers
11054,243,3.0,14397.130924999998,1,Top/Best Customers
11055,235,3.0,14397.130924999998,1,Top/Best Customers
11056,242,3.0,14397.130924999998,1,Top/Best Customers
11057,252,3.0,11581.6156,1,Top/Best Customers
11058,238,3.0,14397.130924999998,1,Top/Best Customers
11059,318,3.0,400.883,1,Top/Best Customers
11060,217,3.0,14397.130924999998,1,Top/Best Customers
11061,228,3.0,14397.130924999998,1,Top/Best Customers
11062,386,1.0,7796.7474,0,Lost/Needed Attention Customers
11063,381,1.0,13110.549,0,Lost/Needed Attention Customers
11064,368,1.0,5094.0058,0,Lost/Needed Attention Customers
11065,18,2.0,664.5803,1,Top/Best Customers
11066,131,2.0,226.304,1,Top/Best Customers
11067,16,2.0,453.5364,2,Current Customer
11068,112,3.0,425.43640000000005,1,Top/Best Customers
11069,238,3.0,8954.9754,1,Top/Best Customers
11070,216,3.0,14397.130924999998,1,Top/Best Customers
11071,58,3.0,318.7153,1,Top/Best Customers
11072,227,3.0,14397.130924999998,1,Top/Best Customers
11073,160,3.0,751.0246,1,Top/Best Customers
11074,246,3.0,292.3723,1,Top/Best Customers
11075,218,3.0,14214.8639,1,Top/Best Customers
11076,221,3.0,11640.0922,1,Top/Best Customers
11077,230,3.0,14324.192399999998,1,Top/Best Customers
11079,27,3.0,114.7987,1,Top/Best Customers
11080,219,3.0,14397.130924999998,1,Top/Best Customers
11081,290,2.0,304.4167,1,Top/Best Customers
11082,83,2.0,8600.5024,1,Top/Best Customers
11083,81,2.0,11406.0644,1,Top/Best Customers
11084,68,2.0,7639.472900000001,1,Top/Best Customers
11085,20,2.0,367.85450000000003,2,Current Customer
11086,38,2.0,558.9534,1,Top/Best Customers
11087,172,2.0,442.619,1,Top/Best Customers
11088,77,2.0,11426.429299999998,1,Top/Best Customers
11089,71,2.0,11493.281799999997,1,Top/Best Customers
11090,68,3.0,13485.818,1,Top/Best Customers
11091,20,3.5,3129.0519,1,Top/Best Customers
11092,221,3.0,14193.7804,1,Top/Best Customers
11093,234,3.0,14397.130924999998,1,Top/Best Customers
11094,17,3.0,693.6086,1,Top/Best Customers
11095,217,3.0,14397.130924999998,1,Top/Best Customers
11096,182,3.0,11553.9906,1,Top/Best Customers
11097,188,3.0,14169.4924,1,Top/Best Customers
11098,104,3.0,131.4288,1,Top/Best Customers
11099,211,3.0,14397.130924999998,1,Top/Best Customers
11100,174,3.0,14397.130924999998,1,Top/Best Customers
11101,213,3.0,14397.130924999998,1,Top/Best Customers
11102,50,3.0,268.34950000000003,1,Top/Best Customers
11103,236,3.0,14397.130924999998,1,Top/Best Customers
11104,227,3.0,14397.130924999998,1,Top/Best Customers
11105,237,3.0,14252.3013,1,Top/Best Customers
11106,227,3.0,8927.3504,1,Top/Best Customers
11107,221,3.0,14397.130924999998,1,Top/Best Customers
11108,219,3.0,14224.764599999999,1,Top/Best Customers
11109,218,3.0,14397.130924999998,1,Top/Best Customers
11110,161,3.0,14242.4889,1,Top/Best Customers
11111,159,3.0,14397.130924999998,1,Top/Best Customers
11112,148,3.0,14397.130924999998,1,Top/Best Customers
11113,282,3.0,346.6829,1,Top/Best Customers
11114,33,3.0,389.81120000000004,1,Top/Best Customers
11115,26,3.0,329.23480000000006,1,Top/Best Customers
11116,104,3.0,570.6112,1,Top/Best Customers
11117,217,3.0,14397.130924999998,1,Top/Best Customers
11118,2,3.0,478.9293,1,Top/Best Customers
11119,66,2.0,172.0266,1,Top/Best Customers
11120,131,3.0,14397.130924999998,1,Top/Best Customers
11121,85,3.0,158.6782,1,Top/Best Customers
11122,159,3.0,47.437799999999996,1,Top/Best Customers
11123,3,3.0,594.0261,1,Top/Best Customers
11124,224,3.0,14397.130924999998,1,Top/Best Customers
11125,209,3.0,246.6032,1,Top/Best Customers
11126,86,3.0,9829.8038,1,Top/Best Customers
11127,119,2.0,92.787,1,Top/Best Customers
11128,169,2.0,616.3248,1,Top/Best Customers
11129,384,2.0,6489.9524,1,Top/Best Customers
11130,50,1.0,82.411,2,Current Customer
11131,5,3.5,332.3953,1,Top/Best Customers
11132,294,1.0,14397.130924999998,0,Lost/Needed Attention Customers
11133,29,1.0,318.0632,2,Current Customer
11134,86,3.0,5427.5723,1,Top/Best Customers
11135,285,1.0,7740.4257,0,Lost/Needed Attention Customers
11136,390,1.0,7891.2582,0,Lost/Needed Attention Customers
11137,8,2.0,664.5803,2,Current Customer
11138,28,2.0,174.5238,2,Current Customer
11139,103,2.0,157.9598,1,Top/Best Customers
11140,315,1.0,88.378,0,Lost/Needed Attention Customers
11141,122,2.0,334.7045,1,Top/Best Customers
11142,15,3.5,2397.1769000000004,1,Top/Best Customers
11143,40,2.0,154.037,2,Current Customer
11144,368,1.0,7955.9007,0,Lost/Needed Attention Customers
11145,368,1.0,7657.5507,0,Lost/Needed Attention Customers
11146,135,3.0,363.247,1,Top/Best Customers
11147,104,3.0,14397.130924999998,1,Top/Best Customers
11148,56,3.0,254.99,1,Top/Best Customers
11149,60,3.0,53.6368,1,Top/Best Customers
11150,197,3.0,890.8513,1,Top/Best Customers
11151,100,3.0,14397.130924999998,1,Top/Best Customers
11152,384,1.0,2535.964,0,Lost/Needed Attention Customers
11153,305,2.0,289.3112,1,Top/Best Customers
11154,383,1.0,2563.589,0,Lost/Needed Attention Customers
11155,387,1.0,2563.589,0,Lost/Needed Attention Customers
11156,385,1.0,10563.6676,0,Lost/Needed Attention Customers
11157,139,2.0,52.553799999999995,1,Top/Best Customers
11158,374,1.0,7942.607400000001,0,Lost/Needed Attention Customers
11159,82,2.0,154.037,1,Top/Best Customers
11160,341,1.0,5132.2388,0,Lost/Needed Attention Customers
11161,78,2.0,329.1134,1,Top/Best Customers
11162,344,1.0,5149.2558,0,Lost/Needed Attention Customers
11163,176,2.0,144.56719999999999,1,Top/Best Customers
11164,176,2.0,625.9603999999999,1,Top/Best Customers
11165,237,2.0,187.82799999999997,1,Top/Best Customers
11166,53,2.0,247.39870000000002,1,Top/Best Customers
11167,61,2.0,6909.189400000001,1,Top/Best Customers
11168,73,2.0,14397.130924999998,1,Top/Best Customers
11169,126,2.0,226.304,1,Top/Best Customers
11170,30,2.0,629.4634000000001,1,Top/Best Customers
