frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,profit_margin
2.0,835.0,1105.0,9513.5474,4.0691161551364985e-10,0.9999999995930884,0.05319331452392302,0.0718562874251497,0.018662972901226677,17714.58965040703,23935.2758677055,1196.763793385275
2.0,1060.0,1109.0,9323.6697,5.770472988331221e-11,0.9999999999422953,0.053098088792236306,0.05660377358490566,0.0035056847926693557,17361.04454466613,23403.20088198679,1170.1600440993395
2.0,778.0,1117.0,3941.0433,5.531866076324832e-10,0.9999999994468134,0.05290865644539109,0.07712082262210797,0.024212166176716877,7338.797489051971,9847.260697083042,492.36303485415215
2.0,863.0,1126.0,10473.853,3.900775258358635e-10,0.9999999996099225,0.05269715426052576,0.06952491309385864,0.01682775883333288,19502.642406973933,26033.649736241845,1301.6824868120923
2.0,829.0,1101.0,6612.8724999999995,4.1151815288742455e-10,0.9999999995884818,0.05328888244197002,0.0723763570566948,0.019087474614724785,12313.642544767508,16676.471311527384,833.8235655763692
2.0,854.0,1125.0,6537.8155,4.0590486527491976e-10,0.9999999995940951,0.05272057096217025,0.0702576112412178,0.017537040279047546,12173.889245661847,16259.989209921003,812.9994604960502
2.0,841.0,1100.0,5187.41155,3.8595571183464017e-10,0.9999999996140443,0.053312828102885346,0.0713436385255648,0.018030810422679455,9659.488095365177,13089.54851833664,654.4774259168321
2.0,800.0,1115.0,9280.8233,4.993989666246534e-10,0.999999999500601,0.05295588769952108,0.075,0.022044112300478917,17281.26616616977,23214.933273869592,1160.7466636934796
2.0,767.0,1099.0,7783.1559,5.410294434682328e-10,0.9999999994589706,0.05333679528407462,0.07822685788787484,0.024890062603800223,14492.66603409683,19650.423927537304,982.5211963768652
2.0,833.0,1097.0,5211.5557,3.9619307834470874e-10,0.9999999996038069,0.053384794376698345,0.07202881152460984,0.018644017147911494,9704.443590743384,13173.491387057215,658.6745693528608
2.0,860.0,1110.0,3912.3133,3.672735449100628e-10,0.9999999996327265,0.05307433558674926,0.06976744186046512,0.016693106273715855,7285.303314180797,9815.115792648257,490.75578963241287
2.0,810.0,1125.0,3962.0383,4.974329836926472e-10,0.999999999502567,0.05272057095734481,0.07407407407407407,0.02135350311672926,7377.889386073214,9854.237975471833,492.71189877359166
1.0,213.0,318.0,13.8788,1.6384849033102e-10,0.9999999998361515,0.06141214915811017,0.14084507042253522,0.07943292126442505,197.69397780467875,328.28239360878683,16.41411968043934
1.0,283.0,290.0,248.55870000000002,9.769518527491527e-12,0.9999999999902305,0.0626270208910391,0.10600706713780919,0.043380046246770096,3363.241424185406,5757.3629055913025,287.8681452795651
1.0,38.0,311.0,439.6576,5.389511059661345e-10,0.9999999994610489,0.0617114267724827,0.7894736842105263,0.7277622574380436,5940.933995646216,9939.722107772424,496.98610538862124
2.0,1006.0,1112.0,2970.4003000000002,1.3242607010965912e-10,0.9999999998675739,0.05302689291940051,0.059642147117296214,0.006615254197895701,5531.4968841274895,7443.6794601668535,372.1839730083427
2.0,1011.0,1107.0,4336.694100000001,1.1882583805800095e-10,0.9999999998811742,0.05314565900806571,0.05934718100890207,0.00620152200083636,8075.484334966336,10898.623802820539,544.931190141027
16.0,334.0,350.0,120.36908125,2.4098945061723498e-11,0.999999999975901,0.3650803929141271,1.437125748502994,1.072045355588867,127.81380743103263,1741.0168058462307,87.05084029231153
1.0,331.0,345.0,13.8788,1.9385826277584783e-11,0.9999999999806142,0.06028448454571632,0.09063444108761329,0.03034995654189697,197.69397780467875,319.0639142692911,15.953195713464556
1.0,29.0,215.0,47.1726,3.389626357375164e-10,0.9999999996610374,0.06613119543686778,1.0344827586206897,0.968351563183822,646.7869916090593,1207.0690873814572,60.353454369072864
2.0,1023.0,1118.0,4867.0223000000005,1.1710832303890584e-10,0.9999999998828917,0.05288507242282334,0.05865102639296188,0.005765953970138543,9062.935412930647,12153.712569387382,607.6856284693691
2.0,996.0,1101.0,5263.888650000001,1.314413022868166e-10,0.9999999998685587,0.05328888245689507,0.06024096385542168,0.006952081398526606,9801.885567033825,13274.77740661829,663.7388703309146
2.0,1012.0,1108.0,7053.391799999999,1.1879319750107697e-10,0.9999999998812068,0.05312186324884059,0.05928853754940711,0.00616667430056652,13133.872843003739,17715.115170805333,885.7557585402667
2.0,985.0,1098.0,4317.34,1.428011042747812e-10,0.9999999998571989,0.05336078405373946,0.06091370558375635,0.007552921530016889,8039.447731768487,10906.944143697703,545.3472071848852
2.0,1027.0,1105.0,5246.4848999999995,9.477507667554619e-11,0.9999999999052249,0.053193314540526476,0.05842259006815969,0.005229275527633213,9769.480441871478,13200.148278433677,660.0074139216839
2.0,1008.0,1088.0,2112.0252,9.785727783651055e-11,0.9999999999021427,0.053601863711622115,0.05952380952380952,0.0059219458121874055,3933.2348686572145,5367.440373727978,268.3720186863989
2.0,1016.0,1092.0,3819.73645,9.247158594405391e-11,0.9999999999075284,0.05350517091850614,0.05905511811023622,0.005549947191730083,7112.928716097875,9683.845021298015,484.1922510649008
2.0,994.0,1075.0,10109.2529,9.953593504974378e-11,0.9999999999004641,0.053918543146564836,0.06036217303822938,0.006443629891664547,18823.77079167817,25885.04745467272,1294.252372733636
2.0,994.0,1078.0,4293.6101,1.0346967727059564e-10,0.9999999998965303,0.053845131609413684,0.06036217303822938,0.006517041428815699,7995.263554244106,10975.02594351458,548.7512971757291
2.0,1013.0,1092.0,2147.9377,9.642753262539827e-11,0.9999999999035725,0.053505170918294376,0.05923000987166831,0.005724838953373931,4000.102587246181,5445.9105481064535,272.2955274053227
2.0,1013.0,1087.0,2535.41155,8.996781097891926e-11,0.9999999999100322,0.05362609154134345,0.05923000987166831,0.005603918330324857,4721.564261103014,6447.006672040908,322.3503336020454
2.0,1009.0,1086.0,1691.9429,9.39386346487936e-11,0.9999999999060614,0.05365034128209951,0.05946481665014866,0.005814475368049153,3151.057492517822,4305.103117870464,215.25515589352324
2.0,1008.0,1086.0,7152.8640000000005,9.525980004809753e-11,0.9999999999047402,0.0536503412820286,0.05952380952380952,0.005873468241780921,13319.086322350082,18197.07834245031,909.8539171225156
1.0,269.0,372.0,1751.0714,1.5719692214588576e-10,0.9999999998428031,0.05919748609104077,0.11152416356877323,0.05232667747773246,23630.316877343565,37095.94883349141,1854.7974416745708
1.0,102.0,265.0,38.675,2.8078050995361536e-10,0.9999999997192195,0.06375307493598395,0.29411764705882354,0.2303645721228396,532.1646657074167,936.821835054567,46.84109175272835
2.0,984.0,1065.0,4365.4462,9.980705151235725e-11,0.999999999900193,0.054164700586043606,0.06097560975609757,0.006810909170053961,8129.019659202795,11244.90095462658,562.245047731329
1.0,202.0,293.0,55.239,1.4077161658576642e-10,0.9999999998592284,0.06249456185031196,0.1485148514851485,0.08602028963483654,755.5929520747212,1289.1948863420932,64.45974431710466
2.0,1010.0,1087.0,4025.2223,9.391332156383214e-11,0.9999999999060867,0.05362609154113198,0.0594059405940594,0.005779849052927423,7495.535607620733,10234.69456285548,511.73472814277403
2.0,1020.0,1090.0,3106.3374,8.467804235579024e-11,0.999999999915322,0.053553473670049485,0.058823529411764705,0.00527005574171522,5784.60662999871,7884.640452459699,394.23202262298497
2.0,1049.0,1083.0,7384.356000000001,3.9682923613781895e-11,0.9999999999603171,0.053723222275589275,0.05719733079122974,0.0034741085156404644,13750.115682923617,18819.129566124993,940.9564783062497
1.0,234.0,325.0,13.8788,1.391569082187516e-10,0.9999999998608431,0.061115760284778095,0.12820512820512822,0.06708936792035013,197.69397780467875,325.84164822943364,16.292082411471682
2.0,1003.0,1073.0,2276.07355,8.506151338849577e-11,0.9999999999149385,0.053967595482078266,0.05982053838484546,0.005852942902767194,4238.686700269726,5835.626138520923,291.78130692604617
1.0,3.0,30.0,215.3757,4.20035117798534e-11,0.9999999999579965,0.0767198898972865,10.0,9.923280110102713,2915.6429681043705,6998.387849834362,349.9193924917181
2.0,830.0,1076.0,7838.428099999999,3.641029699963383e-10,0.999999999635897,0.05389405038830885,0.07228915662650603,0.018395106238197186,14595.580782872134,20058.896855743,1002.9448427871502
2.0,847.0,1090.0,6657.64165,3.5659009078869985e-10,0.9999999996434099,0.05355347365548773,0.07083825265643447,0.017284779000946736,12397.001011141814,16897.587284573223,844.8793642286612
2.0,858.0,1093.0,9267.651749999999,3.41253247881923e-10,0.9999999996587468,0.05348105219003973,0.06993006993006994,0.016449017740030207,17256.741237557715,23480.321498018355,1174.0160749009178
2.0,825.0,1067.0,9340.21705,3.5763325634263765e-10,0.9999999996423667,0.05411528944073562,0.07272727272727272,0.018611983286537105,17391.855085374602,24029.632038430125,1201.4816019215064
2.0,819.0,1071.0,3926.1258,3.7635383698386704e-10,0.9999999996236462,0.054016737132960915,0.07326007326007326,0.019243336127112348,7311.021667484247,10077.402996666196,503.8701498333098
2.0,818.0,1056.0,6723.433349999999,3.5142888599182243e-10,0.9999999996485711,0.0543881718888596,0.07334963325183375,0.018961461362974143,12519.502671596802,17411.463374498442,870.5731687249222
2.0,26.0,344.0,30.359900000000003,7.554021852484993e-10,0.9999999992445978,0.08074188454277816,2.307692307692308,2.2269504231495296,57.25270431841479,138.64741645604158,6.9323708228020795
2.0,829.0,1046.0,6658.8129,3.13601589141399e-10,0.9999999996863984,0.05463864601118454,0.0723763570566948,0.017737711045510265,12399.181834403837,17347.851206328356,867.3925603164179
2.0,824.0,1052.0,6554.8103,3.3313685143809835e-10,0.9999999996668631,0.054488085458484686,0.07281553398058252,0.018327448522097833,12205.532921370188,17015.505456812625,850.7752728406313
